arm,template_id,amplitude,family,reducer,combiner,full32_power,first16_minus_full32,interpretation
paired300,O_PLANAR,0.25,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.0,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
paired300,O_PLANAR,0.5,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.0,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
paired300,O_PLANAR,1.0,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.0,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
paired300,O_PLANAR,2.0,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.0,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
paired300,O_PLANAR,4.0,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.0,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
paired300,O_PLANAR,8.0,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.0,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
paired300,MIX_AXIAL,0.25,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.0,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
paired300,MIX_AXIAL,0.5,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.0,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
paired300,MIX_AXIAL,1.0,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.0,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
paired300,MIX_AXIAL,2.0,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.0,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
paired300,MIX_AXIAL,4.0,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.0,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
paired300,MIX_AXIAL,8.0,FROZEN_MES_10,LOO_ECDF_MIDRANK_V1,MIN_LOCAL_P_V1,0.0,0.0,DESCRIPTIVE_QUADRATURE_SENSITIVITY_NOT_CONTINUUM_CONVERGENCE
