arm,template_id,amplitude,reducer,combiner,scalar_power,irrep_power,irrep_minus_scalar,arms_are_independent_replications
cmbonly999,MIX_PLANAR,8.0,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,1.0,1.0,0.0,False
cmbonly999,MIX_GENERIC,0.25,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.03723404255319149,0.053230600750938675,0.015996558197747188,False
cmbonly999,MIX_GENERIC,0.5,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.040519399249061325,0.07900500625782228,0.038485607008760955,False
cmbonly999,MIX_GENERIC,1.0,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.09226376720901126,0.30326971214017523,0.21100594493116398,False
cmbonly999,MIX_GENERIC,2.0,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,0.7085419274092616,0.979857634543179,0.2713157071339174,False
cmbonly999,MIX_GENERIC,4.0,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,1.0,1.0,0.0,False
cmbonly999,MIX_GENERIC,8.0,LEGACY_ABSOLUTE_MEDIAN_V1,MIN_LOCAL_P_V1,1.0,1.0,0.0,False
cmbonly999,Q_AXIAL,0.25,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.06813204005006258,0.07309918648310389,0.004967146433041303,False
cmbonly999,Q_AXIAL,0.5,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.12566489361702127,0.0820165832290363,-0.04364831038798497,False
cmbonly999,Q_AXIAL,1.0,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.41692740926157695,0.13376095118898623,-0.2831664580725907,False
cmbonly999,Q_AXIAL,2.0,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.9654646433041302,0.26114674593241555,-0.7043178973717146,False
cmbonly999,Q_AXIAL,4.0,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,1.0,0.3069852941176471,-0.6930147058823529,False
cmbonly999,Q_AXIAL,8.0,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,1.0,0.33060857321652065,-0.6693914267834793,False
cmbonly999,O_PLANAR,0.25,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.04654255319148936,0.07763610763454318,0.03109355444305382,False
cmbonly999,O_PLANAR,0.5,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.045525657071339175,0.10047715894868586,0.05495150187734669,False
cmbonly999,O_PLANAR,1.0,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.04689455569461827,0.22403003754693368,0.17713548185231542,False
cmbonly999,O_PLANAR,2.0,LEGACY_ABSOLUTE_MEDIAN_V1,EXACT_INTEGER_FISHER_PRODUCT_FINITE_POOL_V1,0.13106226533166457,0.30710262828535667,0.1760403629536921,False
